Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Februar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;28;0;0;
;29;40;0;
;30;40;0;
;31;40;0;
;32;40;1;
;33;59;0;
;34;59;1;
;35;59;3;
;36;59;7;
;37;211;13;
;38;211;19;
;39;211;26;
;40;211;34;
;41;362;42;
;42;362;53;
;43;362;61;
;44;362;73;
;45;427;83;
;46;427;93;
;47;427;101;
;48;427;112;
;49;438;116;
;50;438;127;
;51;438;135;
;52;438;138;
;53;420;140;
;54;420;144;
;55;420;144;
;56;420;146;
;57;351;142;
;58;351;133;
;59;351;126;
;60;351;116;
;61;207;105;
;62;207;97;
;63;207;81;
;64;207;66;
;65;59;51;
;66;59;40;
;67;59;29;
;68;59;18;
;69;39;9;
;70;39;4;
;71;39;2;
;72;39;1;
;73;0;1;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-12;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;25;0;
;30;25;0;
;31;25;0;
;32;25;0;
;33;65;1;
;34;65;2;
;35;65;6;
;36;65;11;
;37;256;18;
;38;256;25;
;39;256;35;
;40;256;44;
;41;452;57;
;42;452;70;
;43;452;80;
;44;452;94;
;45;563;110;
;46;563;120;
;47;563;128;
;48;563;134;
;49;583;140;
;50;583;151;
;51;583;156;
;52;583;154;
;53;538;147;
;54;538;143;
;55;538;139;
;56;538;134;
;57;421;125;
;58;421;120;
;59;421;116;
;60;421;100;
;61;237;89;
;62;237;80;
;63;237;65;
;64;237;52;
;65;62;42;
;66;62;29;
;67;62;21;
;68;62;12;
;69;37;6;
;70;37;2;
;71;37;2;
;72;37;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-13;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;26;0;
;30;26;0;
;31;26;0;
;32;26;1;
;33;59;1;
;34;59;4;
;35;59;7;
;36;59;12;
;37;243;19;
;38;243;28;
;39;243;35;
;40;243;45;
;41;453;55;
;42;453;71;
;43;453;83;
;44;453;99;
;45;582;115;
;46;582;137;
;47;582;138;
;48;582;166;
;49;620;178;
;50;620;179;
;51;620;199;
;52;620;217;
;53;577;232;
;54;577;234;
;55;577;233;
;56;577;222;
;57;446;210;
;58;446;190;
;59;446;163;
;60;446;147;
;61;240;129;
;62;240;112;
;63;240;96;
;64;240;76;
;65;58;58;
;66;58;39;
;67;58;26;
;68;58;15;
;69;39;8;
;70;39;3;
;71;39;2;
;72;39;1;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-14;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;10;0;
;30;10;0;
;31;10;0;
;32;10;1;
;33;83;2;
;34;83;4;
;35;83;8;
;36;83;14;
;37;360;22;
;38;360;32;
;39;360;44;
;40;360;56;
;41;650;70;
;42;650;94;
;43;650;119;
;44;650;150;
;45;805;174;
;46;805;194;
;47;805;226;
;48;805;237;
;49;812;249;
;50;812;263;
;51;812;258;
;52;812;266;
;53;728;259;
;54;728;258;
;55;728;257;
;56;728;240;
;57;540;226;
;58;540;215;
;59;540;195;
;60;540;183;
;61;279;164;
;62;279;142;
;63;279;121;
;64;279;100;
;65;63;79;
;66;63;58;
;67;63;41;
;68;63;25;
;69;34;14;
;70;34;7;
;71;34;4;
;72;34;2;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-15;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;8;0;
;30;8;0;
;31;8;1;
;32;8;1;
;33;88;5;
;34;88;12;
;35;88;28;
;36;88;35;
;37;372;57;
