Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Januar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;35;6;0;
;36;6;0;
;37;70;2;
;38;70;4;
;39;70;3;
;40;70;5;
;41;168;7;
;42;168;9;
;43;168;12;
;44;168;13;
;45;241;16;
;46;241;18;
;47;241;19;
;48;241;23;
;49;260;25;
;50;260;30;
;51;260;27;
;52;260;32;
;53;240;33;
;54;240;28;
;55;240;26;
;56;240;25;
;57;166;22;
;58;166;18;
;59;166;18;
;60;166;13;
;61;49;11;
;62;49;9;
;63;49;7;
;64;49;4;
;65;1;1;
;66;1;1;
;67;1;1;
;68;1;1;
;69;0;1;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-12;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;22;0;
;34;22;0;
;35;22;0;
;36;22;1;
;37;137;2;
;38;137;3;
;39;137;4;
;40;137;7;
;41;318;11;
;42;318;11;
;43;318;16;
;44;318;17;
;45;459;20;
;46;459;22;
;47;459;26;
;48;459;38;
;49;474;43;
;50;474;48;
;51;474;59;
;52;474;64;
;53;402;71;
;54;402;74;
;55;402;79;
;56;402;79;
;57;256;77;
;58;256;74;
;59;256;67;
;60;256;56;
;61;83;45;
;62;83;37;
;63;83;25;
;64;83;15;
;65;7;7;
;66;7;2;
;67;7;0;
;68;7;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-13;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;35;0;
;34;35;1;
;35;35;2;
;36;35;6;
;37;199;12;
;38;199;17;
;39;199;23;
;40;199;31;
;41;472;39;
;42;472;48;
;43;472;53;
;44;472;57;
;45;676;58;
;46;676;64;
;47;676;70;
;48;676;74;
;49;724;88;
;50;724;92;
;51;724;92;
;52;724;91;
;53;638;92;
;54;638;81;
;55;638;77;
;56;638;70;
;57;420;64;
;58;420;61;
;59;420;55;
;60;420;45;
;61;127;42;
;62;127;32;
;63;127;24;
;64;127;12;
;65;12;5;
;66;12;1;
;67;12;0;
;68;12;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-14;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;19;0;
;34;19;2;
;35;19;3;
;36;19;4;
;37;129;6;
;38;129;9;
;39;129;14;
;40;129;21;
;41;310;27;
;42;310;33;
;43;310;40;
;44;310;45;
;45;461;49;
;46;461;51;
;47;461;58;
;48;461;69;
;49;513;78;
;50;513;86;
;51;513;96;
;52;513;106;
;53;476;131;
;54;476;130;
;55;476;138;
;56;476;127;
;57;333;108;
;58;333;108;
;59;333;105;
;60;333;84;
;61;109;71;
;62;109;61;
;63;109;40;
;64;109;25;
;65;12;15;
;66;12;7;
;67;12;2;
;68;12;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-15;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;39;0;
;34;39;0;
;35;39;1;
;36;39;3;
;37;248;6;
;38;248;10;
;39;248;15;
;40;248;21;
;41;590;25;
;42;590;30;
;43;590;35;
;44;590;40;
;45;838;43;
;46;838;48;
;47;838;51;
;48;838;55;
;49;916;57;
;50;916;60;
;51;916;59;
;52;916;59;
;53;824;58;
;54;824;54;
