Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW)
04.03.2015;01:00:00;04.03.2015;01:15:00;190;320
04.03.2015;01:15:00;04.03.2015;01:30:00;185;305
04.03.2015;01:30:00;04.03.2015;01:45:00;179;244
04.03.2015;01:45:00;04.03.2015;02:00:00;173;221
04.03.2015;02:00:00;04.03.2015;02:15:00;168;230
04.03.2015;02:15:00;04.03.2015;02:30:00;164;241
04.03.2015;02:30:00;04.03.2015;02:45:00;160;233
04.03.2015;02:45:00;04.03.2015;03:00:00;156;238
04.03.2015;03:00:00;04.03.2015;03:15:00;151;197
04.03.2015;03:15:00;04.03.2015;03:30:00;147;235
04.03.2015;03:30:00;04.03.2015;03:45:00;142;204
04.03.2015;03:45:00;04.03.2015;04:00:00;137;160
04.03.2015;04:00:00;04.03.2015;04:15:00;132;184
04.03.2015;04:15:00;04.03.2015;04:30:00;127;180
04.03.2015;04:30:00;04.03.2015;04:45:00;122;184
04.03.2015;04:45:00;04.03.2015;05:00:00;117;210
04.03.2015;05:00:00;04.03.2015;05:15:00;111;208
04.03.2015;05:15:00;04.03.2015;05:30:00;105;183
04.03.2015;05:30:00;04.03.2015;05:45:00;100;166
04.03.2015;05:45:00;04.03.2015;06:00:00;94;158
04.03.2015;06:00:00;04.03.2015;06:15:00;88;155
04.03.2015;06:15:00;04.03.2015;06:30:00;84;143
04.03.2015;06:30:00;04.03.2015;06:45:00;80;119
04.03.2015;06:45:00;04.03.2015;07:00:00;76;115
04.03.2015;07:00:00;04.03.2015;07:15:00;72;111
04.03.2015;07:15:00;04.03.2015;07:30:00;70;101
04.03.2015;07:30:00;04.03.2015;07:45:00;67;103
04.03.2015;07:45:00;04.03.2015;08:00:00;64;107
04.03.2015;08:00:00;04.03.2015;08:15:00;62;100
04.03.2015;08:15:00;04.03.2015;08:30:00;61;98
04.03.2015;08:30:00;04.03.2015;08:45:00;60;91
04.03.2015;08:45:00;04.03.2015;09:00:00;59;83
04.03.2015;09:00:00;04.03.2015;09:15:00;59;80
04.03.2015;09:15:00;04.03.2015;09:30:00;60;71
04.03.2015;09:30:00;04.03.2015;09:45:00;60;73
04.03.2015;09:45:00;04.03.2015;10:00:00;61;85
04.03.2015;10:00:00;04.03.2015;10:15:00;62;86
04.03.2015;10:15:00;04.03.2015;10:30:00;64;89
04.03.2015;10:30:00;04.03.2015;10:45:00;65;91
04.03.2015;10:45:00;04.03.2015;11:00:00;66;107
04.03.2015;11:00:00;04.03.2015;11:15:00;67;102
04.03.2015;11:15:00;04.03.2015;11:30:00;69;121
04.03.2015;11:30:00;04.03.2015;11:45:00;71;116
04.03.2015;11:45:00;04.03.2015;12:00:00;73;119
04.03.2015;12:00:00;04.03.2015;12:15:00;74;115
04.03.2015;12:15:00;04.03.2015;12:30:00;75;124
04.03.2015;12:30:00;04.03.2015;12:45:00;76;117
04.03.2015;12:45:00;04.03.2015;13:00:00;77;114
04.03.2015;13:00:00;04.03.2015;13:15:00;79;118
04.03.2015;13:15:00;04.03.2015;13:30:00;80;121
04.03.2015;13:30:00;04.03.2015;13:45:00;81;117
04.03.2015;13:45:00;04.03.2015;14:00:00;82;130
04.03.2015;14:00:00;04.03.2015;14:15:00;82;124
04.03.2015;14:15:00;04.03.2015;14:30:00;82;123
04.03.2015;14:30:00;04.03.2015;14:45:00;83;137
04.03.2015;14:45:00;04.03.2015;15:00:00;83;134
04.03.2015;15:00:00;04.03.2015;15:15:00;83;147
04.03.2015;15:15:00;04.03.2015;15:30:00;82;119
04.03.2015;15:30:00;04.03.2015;15:45:00;82;149
04.03.2015;15:45:00;04.03.2015;16:00:00;81;162
04.03.2015;16:00:00;04.03.2015;16:15:00;81;126
04.03.2015;16:15:00;04.03.2015;16:30:00;80;132
04.03.2015;16:30:00;04.03.2015;16:45:00;80;152
04.03.2015;16:45:00;04.03.2015;17:00:00;80;152
04.03.2015;17:00:00;04.03.2015;17:15:00;79;127
04.03.2015;17:15:00;04.03.2015;17:30:00;79;109
04.03.2015;17:30:00;04.03.2015;17:45:00;79;112
04.03.2015;17:45:00;04.03.2015;18:00:00;79;136
04.03.2015;18:00:00;04.03.2015;18:15:00;80;99
04.03.2015;18:15:00;04.03.2015;18:30:00;81;79
04.03.2015;18:30:00;04.03.2015;18:45:00;82;69
04.03.2015;18:45:00;04.03.2015;19:00:00;83;64
04.03.2015;19:00:00;04.03.2015;19:15:00;84;70
04.03.2015;19:15:00;04.03.2015;19:30:00;87;76
04.03.2015;19:30:00;04.03.2015;19:45:00;89;76
04.03.2015;19:45:00;04.03.2015;20:00:00;92;90
04.03.2015;20:00:00;04.03.2015;20:15:00;95;81
04.03.2015;20:15:00;04.03.2015;20:30:00;98;64
04.03.2015;20:30:00;04.03.2015;20:45:00;102;70
04.03.2015;20:45:00;04.03.2015;21:00:00;105;69
04.03.2015;21:00:00;04.03.2015;21:15:00;109;114
04.03.2015;21:15:00;04.03.2015;21:30:00;114;142
04.03.2015;21:30:00;04.03.2015;21:45:00;118;130
04.03.2015;21:45:00;04.03.2015;22:00:00;123;133
04.03.2015;22:00:00;04.03.2015;22:15:00;125;139
04.03.2015;22:15:00;04.03.2015;22:30:00;125;142
