Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;96;0;0;
2010-03-09;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;10;0;
;26;10;0;
;27;10;0;
;28;10;6;
;29;176;42;
;30;176;107;
;31;176;202;
;32;176;320;
;33;757;442;
;34;757;593;
;35;757;740;
;36;757;902;
;37;1446;1042;
;38;1446;1174;
;39;1446;1324;
;40;1446;1534;
;41;2001;1569;
;42;2001;1691;
;43;2001;1791;
;44;2001;1813;
;45;2326;1909;
;46;2326;1960;
;47;2326;2062;
;48;2326;2118;
;49;2371;2166;
;50;2371;2222;
;51;2371;2236;
;52;2371;2199;
;53;2156;2102;
;54;2156;2127;
;55;2156;2099;
;56;2156;2073;
;57;1715;2052;
;58;1715;1906;
;59;1715;1888;
;60;1715;1751;
;61;1122;1609;
;62;1122;1457;
;63;1122;1330;
;64;1122;1155;
;65;506;986;
;66;506;794;
;67;506;624;
;68;506;473;
;69;101;335;
;70;101;193;
;71;101;107;
;72;101;49;
;73;4;12;
;74;4;6;
;75;4;0;
;76;4;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-10;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;9;0;
;26;9;0;
;27;9;0;
;28;9;8;
;29;106;42;
;30;106;97;
;31;106;176;
;32;106;261;
;33;461;366;
;34;461;485;
;35;461;592;
;36;461;710;
;37;971;817;
;38;971;875;
;39;971;973;
;40;971;1060;
;41;1427;1152;
;42;1427;1220;
;43;1427;1288;
;44;1427;1414;
;45;1715;1477;
;46;1715;1562;
;47;1715;1567;
;48;1715;1636;
;49;1709;1672;
;50;1709;1658;
;51;1709;1698;
;52;1709;1717;
